Accident_Date,Accident_Time,ID,Severity,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Stop,Traffic_Calming,Traffic_Signal,Day_or_Night
2022-03-14,14:31:00,A-5101948,2,33.29135298713068,-111.7499149,33.29366298713068,-111.7458249,0.285,Incident on EB SANTAN FY near HOUSE 1900 Expect delays.,AZ-202-LOOP,Gilbert,Maricopa,AZ,85297,US,US/Mountain,KIWA,77.0,77.0,12.0,28.67,10.0,WNW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-03-19,01:01:00,A-5236932,2,33.405187,-111.968923,33.392882,-111.967837,0.852,Stationary traffic on Maricopa Fwy E - US-60 E - I-10 E - Pearl Harbor Memorial Hwy from Broadway Rd/52nd St/Exit 153B (I-10) to US-60/Exit 154 (I-10) due to accident.,I-10 E,Tempe,Maricopa,AZ,85282,US,US/Mountain,KPHX,66.0,66.0,19.0,28.78,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Night
2022-01-30,19:36:00,A-729361,2,33.436192,-111.920731,,,0.0,Lane blocked due to accident on AZ-202-LOOP Westbound at Exit 7 Scottsdale Rd.,AZ-202-LOOP,Tempe,Maricopa,AZ,85281,US,US/Mountain,KPHX,65.0,65.0,21.0,28.84,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Night
2022-07-10,11:37:00,A-5191367,2,33.402195,-111.891009,33.42103400000001,-111.891052,1.3019999999999998,Stationary traffic on AZ-101 Loop N - Price Fwy N - Loop 101 N from Southern Ave/Exit 54 (Price Fwy/AZ-101) to University Dr/Exit 52 (Price Fwy/AZ-101) due to accident.,AZ-101 Loop N,Tempe,Maricopa,AZ,85282,US,US/Mountain,KPHX,103.0,103.0,20.0,28.77,10.0,ENE,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,Day
2022-11-05,02:46:00,A-4462711,2,33.485502000000004,-111.888186,33.4891,-111.887692,0.25,Crash on the right shoulder on 101-LOOP Northbound near Indian School Rd (MP 48),AZ-101 Loop N,Scottsdale,Maricopa,AZ,85256,US,US/Mountain,KFFZ,52.0,52.0,53.0,28.91,10.0,E,3.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,Night
2022-01-19,06:55:00,A-4325085,2,33.462537,-112.468794,33.456197,-112.521306,3.0580000000000003,Stationary traffic on I-10 W - Pearl Harbor Memorial Hwy - Papago Fwy W from N Citrus Rd (I-10) to S Watson Rd/Exit 117 (I-10) due to accident.,I-10,Buckeye,Maricopa,AZ,85326,US,US/Mountain,KBXK,45.0,40.0,81.0,28.95,10.0,N,8.0,0.0,,False,False,False,False,True,False,False,False,False,False,Night
2022-04-04,13:57:00,A-5230664,2,33.638454,-112.458753,33.638447,-112.459596,0.048,Incident on BELL RD near HOUSE 18600 Expect delays., W Legend Dr,Surprise,Maricopa,AZ,85374,US,US/Mountain,KLUF,82.0,82.0,22.0,28.65,10.0,S,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-01-13,08:04:00,A-748802,2,33.282673,-111.823174,,,0.0,Left hand shoulder blocked due to accident on AZ-202-LOOP Westbound at Exit 46 Mcqueen Rd.,AZ-202-LOOP,Chandler,Maricopa,AZ,85286,US,US/Mountain,KCHD,39.0,35.0,81.0,28.92,10.0,E,6.0,,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-10-05,15:34:00,A-3830042,2,33.385427,-111.939552,33.385552000000004,-111.914998,1.4169999999999998,Slow traffic on US-60 E - Superstition Fwy E from Priest Dr/Exit 172 (US-60) to McClintock Dr/Exit 175 (US-60) due to accident.,S Mill Ave,Tempe,Maricopa,AZ,85282,US,US/Mountain,KPHX,92.0,92.0,22.0,28.69,10.0,NW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
2022-05-13,17:11:00,A-5209053,2,33.381857000000004,-111.891813,33.424982,-111.891012,2.98,Stationary traffic on AZ-101 Loop N - Price Fwy N - Loop 101 N from Baseline Rd/Exit 55C (Price Fwy/AZ-101) to AZ-202/Exit 51 (Price Fwy/Pima Fwy/AZ-101) due to accident.,AZ-101-LOOP,Tempe,Maricopa,AZ,85282,US,US/Mountain,KPHX,94.0,94.0,5.0,28.66,10.0,WSW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,Day
