State,Measure Names,Year of Year,Measure Values
Arkansas,Highway Fatalities,2017,525
Arkansas,Transit Fatalities,2016,0
Arkansas,Recreational boating fatalities,2016,10
Arkansas,Rail fatalities,2016,15
Arkansas,Highway Fatalities,2016,561
Arkansas,Transit Fatalities,2015,1
Arkansas,Recreational boating fatalities,2015,9
Arkansas,Rail fatalities,2015,8
Arkansas,Highway Fatalities,2015,550
Arkansas,Transit Fatalities,2014,0
Arkansas,Recreational boating fatalities,2014,8
Arkansas,Rail fatalities,2014,14
Arkansas,Highway Fatalities,2014,470
Arkansas,Transit Fatalities,2013,0
Arkansas,Recreational boating fatalities,2013,15
Arkansas,Rail fatalities,2013,10
Arkansas,Highway Fatalities,2013,498
Arkansas,Transit Fatalities,2012,0
Arkansas,Recreational boating fatalities,2012,8
Arkansas,Rail fatalities,2012,9
Arkansas,Highway Fatalities,2012,560
Arkansas,Transit Fatalities,2011,1
Arkansas,Recreational boating fatalities,2011,15
Arkansas,Rail fatalities,2011,8
Arkansas,Highway Fatalities,2011,551
Arkansas,Transit Fatalities,2010,0
Arkansas,Recreational boating fatalities,2010,14
Arkansas,Rail fatalities,2010,15
Arkansas,Highway Fatalities,2010,571
California,Transit Fatalities,2023,41
California,Recreational boating fatalities,2023,
California,Rail fatalities,2023,229
California,Highway Fatalities,2023,
California,Transit Fatalities,2022,43
California,Recreational boating fatalities,2022,43
California,Rail fatalities,2022,219
California,Highway Fatalities,2022,
California,Transit Fatalities,2021,44
California,Recreational boating fatalities,2021,39
California,Rail fatalities,2021,177
California,Highway Fatalities,2021,4285
California,Transit Fatalities,2020,37
California,Recreational boating fatalities,2020,39
California,Rail fatalities,2020,174
California,Highway Fatalities,2020,3980
California,Transit Fatalities,2019,45
California,Recreational boating fatalities,2019,39
California,Rail fatalities,2019,182
California,Highway Fatalities,2019,3719
California,Transit Fatalities,2018,32
California,Recreational boating fatalities,2018,34
California,Rail fatalities,2018,144
California,Highway Fatalities,2018,3798
California,Transit Fatalities,2017,43
